BHK,Bathroom,Furnishing,Locality,Parking,Price,Status,Transaction,Type,Per_Sqft
3,2,Semi-Furnished,Rohini Sector 25,1,6500000,Ready_to_move,New_Property,Builder_Floor,
2,2,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1,5000000,Ready_to_move,New_Property,Apartment,6667
2,2,Furnished,"Citizen Apartment, Rohini Sector 13",1,15500000,Ready_to_move,Resale,Apartment,6667
2,2,Semi-Furnished,Rohini Sector 24,1,4200000,Ready_to_move,Resale,Builder_Floor,6667
2,2,Semi-Furnished,"Rohini Sector 24 carpet area 650 sqft status Ready to Move floor 4 out of 4 floors transaction New Property furnishing Semi-Furnished facing East overlooking Garden/Park, Main Road car parking 1 Open bathroom 2 balcony 1 ownership Freehold Newly Constructed Property Newly Constructed Property East Facing Property 2BHK Newly build property for Sale. A House is waiting for a Friendly Family to make it a lovely home.So please come and make his house feel alive once again. read more Contact Agent View Phone No. Share Feedback Garima properties Certified Agent Trusted by Users Genuine Listings Market Knowledge",1,6200000,Ready_to_move,New_Property,Builder_Floor,6667
4,3,Semi-Furnished,Rohini Sector 24,1,15500000,Ready_to_move,New_Property,Builder_Floor,6667
4,3,Semi-Furnished,Rohini Sector 24,1,10000000,Ready_to_move,Resale,Builder_Floor,6667
2,2,Semi-Furnished,"Delhi Homes, Rohini Sector 24",1,4000000,Ready_to_move,New_Property,Apartment,6154
3,3,Unfurnished,Rohini Sector 21,1,6800000,Almost_ready,New_Property,Builder_Floor,6154
4,4,Semi-Furnished,Rohini Sector 22,1,15000000,Ready_to_move,New_Property,Builder_Floor,6154
3,2,Semi-Furnished,Rohini Sector 20,1,6200000,Ready_to_move,New_Property,Builder_Floor,6154
3,2,Semi-Furnished,Rohini Sector 25,1,7700000,Ready_to_move,New_Property,Builder_Floor,6154
2,2,Semi-Furnished,Rohini Sector 24,1,5500000,Ready_to_move,New_Property,Builder_Floor,6154
2,2,Semi-Furnished,Rohini Sector 24,1,5000000,Ready_to_move,Resale,Builder_Floor,6154
2,2,Semi-Furnished,Rohini Sector 8 How Auctions work? The borrower has the physical possession of the Property. However the lender (Bank) can legally sell the Property. super area 32 sqm status Ready to Move floor 1 transaction Resale furnishing Semi-Furnished Contact Now Enquire Now Auction By,1,3310000,Ready_to_move,Resale,Builder_Floor,6154
2,2,Semi-Furnished,"Rohini Sector 25 carpet area 660 sqft status Ready to Move floor 2 out of 4 floors transaction New Property furnishing Semi-Furnished facing North overlooking Garden/Park, Main Road car parking 1 Open bathroom 2 balcony 1 ownership Freehold Newly Constructed Property Newly Constructed Property Near by Ryan international school 2BHK Located on the Ground Floor of a four story building with open parking the flat measure 720 Sq Ft the property is located in a green and plush sector with common parks opposite every lane and bus and auto stand nearby. its situated 1.5 km from the metro station and walkable distance from shopping distance from shopping complex. read more Contact Agent View Phone No. Share Feedback Know your Certified Agent CRISIL Rating No of Employees 9 Kulwant & Company Certified Agent Trusted by Users Genuine Listings 5500+ Buyers Served",1,4700000,Ready_to_move,New_Property,Builder_Floor,6154
2,2,Semi-Furnished,Rohini Sector 22,1,4500000,Ready_to_move,New_Property,Builder_Floor,6154
4,3,Semi-Furnished,Rohini Sector 16,1,17000000,Ready_to_move,New_Property,Builder_Floor,6154
3,3,Semi-Furnished,Rohini Sector 14,1,25000000,Ready_to_move,Resale,Apartment,6154
2,2,Semi-Furnished,Rohini Sector 24,1,6000000,Ready_to_move,Resale,Builder_Floor,6154
2,2,Semi-Furnished,"Mayur Apartment, Rohini Sector 9",1,11000000,Ready_to_move,Resale,Apartment,6154
3,2,Semi-Furnished,"Vijay Vihar, Rohini",5,4500000,Ready_to_move,Resale,Builder_Floor,6154
1,1,Furnished,"Rohini Sector 18 carpet area 40 sqm status Ready to Move floor 2 out of 4 floors transaction Resale furnishing Furnished facing East overlooking Main Road car parking 2 Open bathroom 1 balcony 1 ownership Freehold East Facing Property It an LIG three side corner flat in second floor, having full scope of expansion. interior decorated with 2 textured wall , kajaria tiles , fully modular kitchen, branded bathroom and toilet fittings, LED panel, ac in one bedroom, false ceiling in entire flat.south facing unobstructed view balcony. It was all renovated only 2.5 yrs back so every thing is in brand new condition. read more Contact Owner View Phone No. Share Feedback Owner Pramod",2,5300000,Ready_to_move,Resale,Apartment,6154
2,2,Semi-Furnished,"Prashant Vihar, Rohini",1,10500000,Ready_to_move,Resale,Apartment,6154
2,2,Semi-Furnished,Rohini Sector 5,1,12000000,Ready_to_move,Resale,Builder_Floor,6154
3,3,Furnished,Rohini Sector 20,1,7000000,Ready_to_move,New_Property,Builder_Floor,6364
3,2,Semi-Furnished,Rohini Sector 25,1,7000000,Ready_to_move,Resale,Builder_Floor,8750
1,1,Semi-Furnished,"Sanskriti Apartment, Rohini Sector 28",1,3400000,Ready_to_move,Resale,Apartment,8750
2,2,Furnished,Rohini Sector 25,1,5000000,Ready_to_move,New_Property,Apartment,8750
4,4,Furnished,Rohini Sector 19,1,21000000,Ready_to_move,New_Property,Builder_Floor,9722
1,,Unfurnished,Lajpat Nagar 2,,13500000,Ready_to_move,Resale,Apartment,
2,2,Unfurnished,Lajpat Nagar 1,1,15000000,Ready_to_move,New_Property,Builder_Floor,
2,2,Unfurnished,Lajpat Nagar,1,10500000,Ready_to_move,New_Property,Builder_Floor,
3,2,Semi-Furnished,"Vikram Vihar, Lajpat Nagar",1,22500000,Ready_to_move,New_Property,Builder_Floor,
2,2,Unfurnished,Lajpat Nagar 4,1,13600000,Ready_to_move,New_Property,Builder_Floor,
3,3,Semi-Furnished,Lajpat Nagar 3,2,30000000,Ready_to_move,New_Property,Builder_Floor,
2,2,Semi-Furnished,Lajpat Nagar,1,13500000,Ready_to_move,New_Property,Apartment,
2,2,Semi-Furnished,"Dayanand Colony, Lajpat Nagar How Auctions work? The borrower has the physical possession of the Property. However the lender (Bank) can legally sell the Property. super area 810 sqft status Ready to Move floor 1 out of 5 floors transaction Resale balcony 1 Contact Now Enquire Now Auction By Bank",1,8910000,Ready_to_move,Resale,Builder_Floor,
3,4,Unfurnished,Lajpat Nagar,1,25000000,Ready_to_move,Resale,Apartment,
3,3,Semi-Furnished,Lajpat Nagar 2,4,26000000,Ready_to_move,New_Property,Builder_Floor,
3,3,Semi-Furnished,Lajpat Nagar,1,30000000,Ready_to_move,Resale,Builder_Floor,
2,2,Furnished,Lajpat Nagar,1,12500000,Ready_to_move,Resale,Builder_Floor,
3,3,Semi-Furnished,Lajpat Nagar 3,1,21000000,Ready_to_move,Resale,Builder_Floor,
2,2,Unfurnished,Lajpat Nagar 4,1,7800000,Ready_to_move,Resale,Builder_Floor,
2,2,Semi-Furnished,"Amar Colony, Lajpat Nagar",1,11500000,Ready_to_move,New_Property,Builder_Floor,
2,2,Semi-Furnished,Lajpat Nagar 1,1,11500000,Ready_to_move,Resale,Builder_Floor,
3,3,Semi-Furnished,Lajpat Nagar 2,2,26000000,Ready_to_move,New_Property,Builder_Floor,
2,2,Semi-Furnished,"Amar Colony, Lajpat Nagar",2,13000000,Ready_to_move,New_Property,Builder_Floor,14444
3,3,Semi-Furnished,"Vikram Vihar, Lajpat Nagar",1,22000000,Ready_to_move,New_Property,Builder_Floor,22000
2,2,Semi-Furnished,Lajpat Nagar 2,1,15800000,Ready_to_move,New_Property,Builder_Floor,22000
4,4,Unfurnished,Lajpat Nagar 3,2,57500000,Ready_to_move,New_Property,Builder_Floor,22000
2,2,Unfurnished,Lajpat Nagar 1,2,10000000,Ready_to_move,Resale,Builder_Floor,22000
3,3,Unfurnished,Lajpat Nagar 3,2,30000000,Ready_to_move,New_Property,Builder_Floor,22000
3,3,Unfurnished,"Vikram Vihar, Lajpat Nagar",2,22000000,Ready_to_move,New_Property,Builder_Floor,22000
3,3,Semi-Furnished,"Vikram Vihar, Lajpat Nagar",2,24000000,Ready_to_move,New_Property,Builder_Floor,22000
3,3,Semi-Furnished,Lajpat Nagar 3,1,31500000,Ready_to_move,Resale,Builder_Floor,22000
2,2,Semi-Furnished,Lajpat Nagar 2,1,14600000,Ready_to_move,Resale,Builder_Floor,22000
4,5,Semi-Furnished,Lajpat Nagar,1,240000000,Ready_to_move,New_Property,Builder_Floor,22000
2,2,Semi-Furnished,Lajpat Nagar 1,1,8300000,Ready_to_move,Resale,Builder_Floor,22000
3,3,Unfurnished,"Vikram Vihar, Lajpat Nagar",1,22500000,Ready_to_move,New_Property,Builder_Floor,22000
1,1,Furnished,"DDA Flats Sector 14, Dwarka Sector 14",2,4600000,Ready_to_move,Resale,Apartment,
2,1,Semi-Furnished,"Siddhartha Heights, Dwarka Sector 24",2,1900000,Ready_to_move,New_Property,Apartment,2235
3,2,Unfurnished,"MTNL Employees House Welfare Society, Dwarka Sector 24",1,5130000,Ready_to_move,New_Property,Apartment,3800
4,4,Unfurnished,"Delhi Homes Yojana, Dwarka Sector 24",1,5890000,Ready_to_move,New_Property,Apartment,4247
3,2,Unfurnished,"The Elite Spire, Dwarka Sector 21",1,3700000,Ready_to_move,New_Property,Apartment,3524
3,2,Unfurnished,"Kunj Vihar Apartment, Dwarka Sector 12",1,17400000,Ready_to_move,Resale,Apartment,3524
3,3,Semi-Furnished,"Ashirwad Apartments, Dwarka Sector 12",1,15500000,Ready_to_move,Resale,Apartment,3524
2,1,Semi-Furnished,"MTNL Employees House Welfare Society, Dwarka Sector 24",1,2400000,Almost_ready,New_Property,Apartment,3524
3,2,Semi-Furnished,"Sunny Valley Apartments, Dwarka",1,17200000,Ready_to_move,Resale,Apartment,3524
3,2,Furnished,"Shri Agrasen Apartment, Dwarka Sector 7",2,14200000,Ready_to_move,Resale,Apartment,3524
3,3,Semi-Furnished,"Chopra Apartment, Dwarka Sector 23",1,13500000,Ready_to_move,Resale,Apartment,3524
4,4,Semi-Furnished,"Mohinder Apartments, Dwarka Sector 12",1,30000000,Ready_to_move,Resale,Apartment,3524
4,3,Unfurnished,"Chander Lok Apartment, Dwarka Sector 19",1,21000000,Ready_to_move,Resale,Apartment,3524
4,3,Unfurnished,"Neelachal, Dwarka Sector 5",1,20500000,Ready_to_move,Resale,Apartment,3524
3,4,Semi-Furnished,Dwarka,1,24000000,Ready_to_move,Resale,Apartment,3524
4,2,Semi-Furnished,"MeeraBai Apartment, Dwarka Sector 5",1,16500000,Ready_to_move,Resale,Apartment,3524
3,2,Semi-Furnished,"Crescent Apartments, Dwarka Sector 18",1,14900000,Ready_to_move,Resale,Apartment,3524
4,3,Furnished,"Ashoka Enclave Apartment, Dwarka Sector 11",1,19200000,Ready_to_move,Resale,Apartment,3524
3,3,Semi-Furnished,"Nav Kairali Apartment, Dwarka Sector 3",1,14500000,Ready_to_move,Resale,Apartment,3524
3,3,Semi-Furnished,"Ashirwad Apartments, Dwarka",1,15600000,Ready_to_move,Resale,Apartment,3524
3,2,Unfurnished,"Indraprastha Apartment, Dwarka Sector 12",1,11400000,Ready_to_move,Resale,Apartment,3524
4,4,Furnished,"Mohinder Apartments, Dwarka",1,31500000,Ready_to_move,Resale,Apartment,3524
3,2,Furnished,"Ashoka Apartments, Dwarka Sector 12",2,15800000,Ready_to_move,Resale,Apartment,3524
3,3,Semi-Furnished,"Karuna Vihar Apartment, Dwarka",2,16000000,Ready_to_move,Resale,Apartment,3524
3,3,Semi-Furnished,"Nav Kairali Apartment, Dwarka Sector 3",1,14500000,Ready_to_move,Resale,Apartment,3524
2,2,Unfurnished,"LNT Apartments, Dwarka",1,10500000,Ready_to_move,Resale,Apartment,3524
3,2,Semi-Furnished,Dwarka Sector 4,1,14800000,Ready_to_move,Resale,Apartment,3524
1,1,Semi-Furnished,"Dwarka Sector 3 carpet area 400 sqft status Ready to Move floor 1 out of 4 floors transaction New Property furnishing Semi-Furnished facing West overlooking Main Road bathroom 1 balcony 1 ownership Freehold Newly Constructed Property 1BHK freehold property , reserved parking, ample space for visitor parking, bathrooms with modern facilities, complete light in all room, wooden wardrobes in bedrooms, separate electric & water meter connection, separate water tank at roof, electronic door lock system with intercom facility, wall to wall POP work, fall ceiling work in all rooms, royal paint work in all rooms, 24X7 running water, branded electric fittings, modular kitchen with electronic chimney, marble vitrified tile flooring, near to metro station, well connected to main road ect. 80 to 90 home loan available. Ready to move read more Contact Agent View Phone No. Share Feedback Agent S.B. Associates 4000+ Buyers Served",1,1850000,Ready_to_move,New_Property,Builder_Floor,3524
3,2,Semi-Furnished,Dwarka Sector 16B,1,6800000,Ready_to_move,New_Property,Builder_Floor,3524
3,3,Semi-Furnished,"Chopra Apartment, Dwarka Sector 23",1,14200000,Ready_to_move,Resale,Apartment,3524
1,1,Semi-Furnished,Lajpat Nagar 3,,8900000,Ready_to_move,Resale,Builder_Floor,
3,3,Semi-Furnished,Lajpat Nagar 3,2,37500000,Ready_to_move,New_Property,Builder_Floor,
3,3,Semi-Furnished,Lajpat Nagar 3,2,30000000,Ready_to_move,New_Property,Builder_Floor,
3,3,Semi-Furnished,Lajpat Nagar 3,2,21000000,Ready_to_move,Resale,Builder_Floor,
4,4,Unfurnished,Lajpat Nagar 3,2,57500000,Ready_to_move,New_Property,Builder_Floor,
3,3,Semi-Furnished,Lajpat Nagar 3,1,30000000,Ready_to_move,Resale,Builder_Floor,
3,3,Unfurnished,Lajpat Nagar 3,1,30000000,Ready_to_move,New_Property,Builder_Floor,
3,3,Semi-Furnished,Lajpat Nagar 3,1,31500000,Ready_to_move,Resale,Builder_Floor,
3,3,Unfurnished,Lajpat Nagar 3,1,30000000,Ready_to_move,Resale,Builder_Floor,
3,3,Unfurnished,Lajpat Nagar 3,1,41500000,Ready_to_move,New_Property,Builder_Floor,
3,3,Semi-Furnished,Lajpat Nagar 3,1,24800000,Ready_to_move,Resale,Builder_Floor,
3,3,Semi-Furnished,Lajpat Nagar 3,2,35000000,Ready_to_move,Resale,Builder_Floor,
3,3,Semi-Furnished,Lajpat Nagar 3,1,40000000,Ready_to_move,Resale,Builder_Floor,26666
4,5,Unfurnished,Lajpat Nagar 3,1,46000000,Ready_to_move,New_Property,Builder_Floor,15972
4,4,Semi-Furnished,Lajpat Nagar 3,2,55000000,Ready_to_move,Resale,Builder_Floor,183333
3,3,Unfurnished,Lajpat Nagar 3,1,24500000,Ready_to_move,Resale,Builder_Floor,183333
3,3,Unfurnished,Lajpat Nagar 3,1,24500000,Ready_to_move,Resale,Apartment,183333
3,3,Semi-Furnished,Lajpat Nagar 3,1,32500000,Ready_to_move,New_Property,Builder_Floor,183333
2,2,Furnished,Lajpat Nagar 3,1,20000000,Ready_to_move,Resale,Apartment,20000
4,5,Semi-Furnished,Lajpat Nagar,1,240000000,Ready_to_move,New_Property,Builder_Floor,20000
2,2,Furnished,Lajpat Nagar 3,1,20000000,Ready_to_move,Resale,Apartment,20000
3,3,Furnished,Lajpat Nagar 3,2,19000000,Ready_to_move,Resale,Builder_Floor,20000
3,3,Unfurnished,Lajpat Nagar 3,2,26000000,Ready_to_move,Resale,Builder_Floor,20000
3,3,Unfurnished,Lajpat Nagar 3,1,21000000,Ready_to_move,Resale,Builder_Floor,15556
3,3,Semi-Furnished,Lajpat Nagar 3,1,27500000,Ready_to_move,Resale,Builder_Floor,16176
3,3,Semi-Furnished,Lajpat Nagar 3,2,32500000,Ready_to_move,New_Property,Builder_Floor,16176
3,3,Semi-Furnished,Lajpat Nagar 3,1,45000000,Ready_to_move,New_Property,Builder_Floor,16176
3,3,Semi-Furnished,Lajpat Nagar 3,1,21000000,Ready_to_move,Resale,Builder_Floor,15556
3,3,Unfurnished,Lajpat Nagar 3,1,28000000,Ready_to_move,Resale,Builder_Floor,15556
3,3,Unfurnished,Lajpat Nagar 3,2,29500000,Ready_to_move,Resale,Builder_Floor,15556
1,,Unfurnished,Lajpat Nagar 2,,13500000,Ready_to_move,Resale,Apartment,
2,2,Unfurnished,Lajpat Nagar 2,1,14000000,Ready_to_move,New_Property,Builder_Floor,
3,3,Semi-Furnished,Lajpat Nagar 2,4,26000000,Ready_to_move,New_Property,Builder_Floor,
2,2,Furnished,Lajpat Nagar 2,4,12500000,Ready_to_move,Resale,Builder_Floor,9259
3,3,Semi-Furnished,Lajpat Nagar 2,2,26000000,Ready_to_move,New_Property,Builder_Floor,9259
2,2,Semi-Furnished,"Vinoba Puri, Lajpat Nagar",2,11500000,Ready_to_move,New_Property,Builder_Floor,9259
2,2,Semi-Furnished,Lajpat Nagar 2,2,14600000,Ready_to_move,Resale,Builder_Floor,9259
3,3,Semi-Furnished,Lajpat Nagar 2,1,25500000,Ready_to_move,New_Property,Builder_Floor,9259
3,3,Semi-Furnished,Lajpat Nagar 2,2,31000000,Ready_to_move,New_Property,Builder_Floor,18507
3,3,Semi-Furnished,Lajpat Nagar 2,2,22000000,Ready_to_move,Resale,Builder_Floor,18507
2,2,Semi-Furnished,Lajpat Nagar 2,2,13400000,Ready_to_move,New_Property,Builder_Floor,18507
3,3,Semi-Furnished,Lajpat Nagar 2,2,35000000,Almost_ready,New_Property,Builder_Floor,18507
2,2,Furnished,Lajpat Nagar 2,2,11000000,Ready_to_move,Resale,Builder_Floor,18507
2,2,Unfurnished,"Vinoba Puri, Lajpat Nagar",2,6300000,Ready_to_move,Resale,Builder_Floor,7000
2,2,Furnished,Lajpat Nagar 2,2,12500000,Ready_to_move,Resale,Builder_Floor,7000
2,2,Unfurnished,Lajpat Nagar 2,1,14500000,Ready_to_move,New_Property,Builder_Floor,7000
2,3,Semi-Furnished,Lajpat Nagar 2,1,22500000,Ready_to_move,New_Property,Builder_Floor,7000
2,2,Semi-Furnished,Lajpat Nagar 2,1,15500000,Ready_to_move,New_Property,Builder_Floor,7000
3,3,Semi-Furnished,Lajpat Nagar 2,1,26000000,Ready_to_move,New_Property,Builder_Floor,7000
2,2,Semi-Furnished,Lajpat Nagar 2,1,15800000,Ready_to_move,New_Property,Builder_Floor,7000
2,2,Unfurnished,Lajpat Nagar 2,1,15000000,Ready_to_move,New_Property,Builder_Floor,7000
2,2,Unfurnished,Lajpat Nagar 2,1,13000000,Ready_to_move,New_Property,Builder_Floor,7000
2,2,Unfurnished,Lajpat Nagar 2,1,15000000,Ready_to_move,New_Property,Builder_Floor,7000
3,3,Semi-Furnished,Lajpat Nagar 2,1,25000000,Ready_to_move,New_Property,Builder_Floor,7000
2,2,Semi-Furnished,Lajpat Nagar 2,1,16500000,Ready_to_move,New_Property,Builder_Floor,7000
2,2,Unfurnished,Lajpat Nagar 2,1,10300000,Ready_to_move,New_Property,Builder_Floor,7000
